Faculty Name,Title,Location,Organizer,Description
Alessandro Saccal,A ubiquitous empirical representation for all minimal transition equations,"Berlin, Germany",Eurasian Business and Economics Society,https://ebesweb.org/
Alessandro Saccal,A Nash equilibrium against gun control,"Berlin, Germany",Global Labor Organization,https://glabor.org/
Alessandro Saccal,A ubiquitous empirical representation for all minimal transition equations,"London, UK",Rimini Centre for Economic Analysis,https://www.rcea.world/
Alessandro Saccal,A ubiquitous empirical representation for all minimal transition equations,"Santander, Spain",Asociación Libre de Economía,https://alde.es/
Alessandro Saccal,An alternative derivation of Sraffa's fundamental equation with applications,"Sri City, India",Research Symposium on Finance and Economics,https://krea.edu.in/ifmrgsb/research-symposium-finance-and-economics/
Alessandro Saccal,An alternative derivation of Sraffa's fundamental equation with applications,"Milan, Italy",Associazione Italiana per la Storia dell'Economia Politica,https://www.storep.org/wp/
Alessandro Saccal,A probabilistic analysis of governmental forms,"Naples, Italy",International Association for the Economics of Participation,https://www.iafep.org/
Jayaprakash Mishra,Sticky Kinship and Homoromantic Desires: Ethnographic Accounts of Gay Men in small towns of India,Singapore,"Youth Gender and Media workshop, Natioal University of Singapore",https://fass.nus.edu.sg/wp-content/uploads/2024/02/Resized-FASS-GSRC-Gender-Youth-Media-Programme-6-Feb-2024_compressed.pdf
Jayaprakash Mishra,Discussant of Rama Srinivasan’s book 'Courting Desire',"Chandigarh, Punjab","Department of Sociology, Panjab University",Rama Srnivasan's book release - Google Drive
Jayaprakash Mishra,In-depth interviews in Qualitative Research a capacity building workshop,"Indian Institute of Technology, Hyderbad","Depatment of Liberal Arts, IIT Hyderbad",https://drive.google.com/file/d/1fWMvB53gsKTfAu9UQ9eWk-367pZphrJo/view?usp=drive_link
Jayaprakash Mishra,An Introduction to Anthropology of Popular Culture,"Bhawanipatna, Kalahandi, Odisha","Department of English, Kalahandi University, Odisha",Kalahandi University invited talk - Google Drive
Jayaprakash Mishra,Queer Lives in Capitalistic TImes,Online,European Association of Social Anthropology,Invitation Dialogues on capitalisms and fascisms.pdf (easaonline.org)
Leila Chamankhah,Iran and Her Ethicists: A Critical Perspective,The Muslim World Journal,Wiley Publication,Forthcoming
Leila Chamankhah,"Political Philosophy of Shaykh?sm: Conservative Nationalism in the Time of Crisis,",The Muslim World Journal,Wiley Publication,https://onlinelibrary.wiley.com/doi/10.1111/muwo.12485
Leila Chamankhah,"?all ul-fu??? and its Main Tenets: A Reading into M?r Sayyid ?Al? Hamad?n?’s Commentary on Fu??? ul-?ikam,",The Muslim World Journal,Wiley Publication,https://onlinelibrary.wiley.com/doi/10.1111/muwo.12477
Leila Chamankhah,Tafs?r or Ta?w?l? The Shaykh? Contribution to the Qur??n?c Tradition of Nineteenth Century Iran,The Muslim World Journal,Wiley Publication,https://onlinelibrary.wiley.com/doi/10.1111/muwo.12468
Leila Chamankhah,Islamic Studies in the Modern and Postmodern Era: An Assessment of the Contribution of Indian and Iranian Scholars,"Hyderabad, India","Department of Islamic Studies, Maulana Azad National Urdu University",https://manuu.edu.in/department-islamic-studies
Leila Chamankhah,Baba F?r?d: Images and Representations in Guru Granth Sahib,"Lucknow, India","Department of Humanities and Social Sciences, Integral University",
Leila Chamankhah,"Persian in India: Past and Present, Patiala, India","Patiala, India","Literature Society, Thapar Institute of Liberal Arts and Sociences",
Leila Chamankhah,?Abdul Razz?q K?sh?n?,New York: Oxford University Press,Oxford Bibliographies,https://www.oxfordbibliographies.com/display/document/obo-9780195390155/obo-9780195390155-0303.xml?rskey=R5tgtW&result=1&q=Abdul+Razz%C4%81q+K%C4%81sh%C4%81n%C4%AB#firstMatch
Leila Chamankhah,"The Contemporary Reception of Ibn ?Arab? in Iranian Mysticism: The Case Study of ?asan ?asanz?dih ?mul?,","Hyderabad, India","Department of Islamic Studies, Maulana Azad National Urdu University",https://manuu.edu.in/department-islamic-studies
Leila Chamankhah,"Wil?yat N?mih: Intensification of Faith and Devotion in the Context of Akbar?an Mysticism,","Chicago, USA","Shi?i Studies Symposium, The University of Chicago Shi?i Studies Group Symposium",
Leila Chamankhah,Reviewer and the Member of the Editorial Board of the Social Sciences and Humanities Journal,USA,The Elsevier,https://www.editorialmanager.com/ssho/Default.aspx 
Leila Chamankhah,Reviewer and Editor for the peer-reviewed Journal of of Quran and Hadis Studies,Indonesia,UIN K.H. Abdurrahman Wahid Pekalongan,Aqwal: Journal of Qur'an and Hadis Studies (uingusdur.ac.id)
Leila Chamankhah,"Reviewer, MDPI Journal",Switzerland,Religion,https://www.mdpi.com/about/journals
Dr. Vandana Singh,Guest lecture on Is emotional repression normal? Ways to avoid it.,"Woxsen University, Hyderabad, India",Department of Psychology,
Dr. Vandana Singh,External examiner,"Nagaland, North East India.",North East Christian University (NECU),
Dr. Vandana Singh,External member Doctoral Advisory Committee,"Vellore Institute of Technology , Tamilnadu","Department of Psychology, VIT Tamilnadu",
Byapti Sur,The Merchant of Bengal: Brokers and Local Merchants in the VOC's Textile Trade,"IIT Madras, Chennai, Tamil Nadu","CAPASIA, European University Institute",https://www.capasia.eu/events/
Byapti Sur,"The Dutch Zamindars of Bengal, 1602-1825","Punjabi University, Patiala, Punjab",Panjab History Congress 54th session,
Byapti Sur,"Exploring the Dutch Archives: A Study of the Dutch East India Company in Bengal, 1602-1825.","Jadavpur University, Jadavpur, Kolkata","Jadavpur University, Kolkata",https://www.youtube.com/watch?v=W8Cm12iDNE0
Byapti Sur,Reflecting on Orissa's Dutch Past: Tracing its Socio-Economic History through the Dutch East India Company Archives,Hyderabad (online),TISS Hyderabad and University of Hyderabad,
Byapti Sur,Paper Empires,"Exeter, UK (online)","University of Exeter, UK",
Sheikh Adil Edrisi,Need of Transdisciplinary Research for Accelerating Land Restoration,"Department of Botany, University of Rajasthan, Jaipur, India",Society for Plant Research (SPR) and International Forum for Botanists (IFB),https://www.uniraj.ac.in/circular/notice/93_06.12.2022.pdf
Sheikh Adil Edrisi,Exploring Marginal & Degraded Lands through Geospatial Technology for Forestry/Bioenergy Plantations,"Amity University, Noida, Uttar Pradesh, India (Online)","Indian Meteorological Society, New Delhi, India","The talk focused on the geospatial technology. He discussed about the exploring & degraded lands through geospatial technology for forestry/ bioenergy plantations. He also addressed sustainable development goals 5, 8, 13, 15, and others. He said that land use and land cover is two different terminologies. LULC change is widespread and accelerating process, chiefly driven by natural phenomena and anthropogenic activities, influencing the natural ecosystem. https://auup.amity.edu/pdf/Annexure2.pdf"
Sheikh Adil Edrisi,Land degradation and restoration: Experiences from Northern and Western India,"IUCN-World Conservation Congress, Marseille, France, (Online)","IUCN-World Conservation Congress, Marseille, France, 2021",This session introduced the information on the science and practice of Ecosystem Restoration and how ecological restoration can be applied as a tool for reversing ecosystem fragmentation. The networking session was attended by Florent Kaiser (Global Landscapes Forum) and Sheikh Adil Edrisi (CEM YPN) presented the perspective of two YPs working in Ecosystem Restoration. This was followed by a discussion to help understand the perspectives of Youth. https://civicrm.iucn.org/civicrm/mailing/view?id=3371&reset=1
Ruchika Jain,Appropriated and Assimilated: Ravana in Popular Culture,Tokyo (Online),Asian Conference on Cultural Studies,"The presentation studied the narrativization of the concept of evil/other by studying
variants of Ravana across examples of popular culture in present times—from twenty first century novels and cinema to political rallies and festival fairs. The talk argued that the character of Ravana serves as a platform for expressing dissent and hence in creating (or sustaining) counter-narratives.The talk received the International Academic Forum scholarship. Abstract published in programme ISSN: 2433-7544, pp. 31."
Ruchika Jain,Resurgence of the Ramayana: Polarization or Tradition?,"Texas, USA",Popular Culture Association and American Culture Association,"The research talk explored how recent Ramayana tellings across mediums of popular culture claim to subvert the representative Hindu telling of Ramayana. It asked if these consciously alternate contemporary retellings add to the Ramayana tradition which is known for its quality of plurality and ability to question itself, or if they further politicize and polarize the tradition. Received travel grant. Abstract published in conference booklet page 125."
Ruchika Jain,The Villain as the Hero: Subversion and Creativity in Ramayana,Online,The International Society of Mythology,Forthcoming.
Ruchika Jain,Dominance and Dissent: Ravana’s role in making Ramayana both Sacred and Profane,Delhi University,"ICLA Research Committee on Religion, Ethics, and Literature; Comparative Literature Association of India",Forthcoming.
Neloy Kumar Chakroborty,"Keynote Speaker, Title: Hygienic behavior in honey bees – Mechanisms, selection processes and future research directions to combat an enormous problem","Instituto de Investigaciones
Agropecuarias (INIA), Chile (Online), 27th - 28th August, 2020","Workshop Ciencia de Insectos Para La Agricultura, Instituto de Investigaciones Agropecuarias (INIA)","Hygienic behavior is a group or social defensive response of honey bees that confers resistance against the honey bee diseases. When nurse bees perceive disease-associated odors coming out of the brood cells, they immediately scrutinize the brood and if required, remove them. This particular and other stable genetic traits are probed in the selective breeding programs worldwide to produce honey bee lines that show substantial resistance against the diseases. Indeed, efforts until now have produced multiple such genetic lines that are significantly more resistant to the diseases compared to the unselected bees.https://araucanianoticias.cl/2020/inia-lidera-workshop-que-aborda-la-relevancia-de-los-insectos-y-su-rol-en-nuestros-ecosistemas/0827187637, https://www.portalagrochile.cl/2020/08/27/inia-lidera-workshop-que-aborda-la-relevancia-de-los-insectos-y-su-rol-en-nuestros-ecosistemas/, http://tierramarillano.cl/2020/08/27/inia-lidera-workshop-que-aborda-la-relevancia-de-los-insectos-y-su-rol-en-nuestros-ecosistemas/"
Neloy Kumar Chakroborty,"Sublethal concentrations of organophosphate and pyrethroid insecticides impair the perception and learning of sensory stimuli in the Western honeybee, Apis mellifera","18th COLOSS Congress (eConference), Alabama A&M University, Auburn University, USA, (Online), 2nd - 3rd November 2022",COLOSS Honeybee Research Association,"We assessed the toxicity of these insecticides in the Western honeybee species, Apis mellifera (brought from Italy), domesticated in India. The acute oral median lethal dose values (LD50) after 24 h of administrations were estimated to be 0.39 µg/bee and 0.074 µg/bee respectively for malathion and lambda-cyhalothrin in A. mellifera. This shows that lambda-cyhalothrin is more toxic than malathion in this species of honeybee.https://coloss.org/wp-content/uploads/pastevents/2022Proceedings18th-COLOSS-Conference.pdf"
Rabi Prakash,Political Power and Caste Identity in Pre-Modern India: Changing Discourse on Kshatriya Identity between Jurisprudential and Literary Texts.,"University of Winsconsin-Madison, USA",South Asian Studies Association.,"The presentation suggests, an emergent practice among the political entrepreneurs from different caste groups making their bid to claim kshatriya identity can best be retrieved through their vernacular hagiographies (Carit Kavya) which every significant regional ruler or military enterprenuer got composed for himself. The paper examines a set of hagiographies in Brajbhasha to establish how the Mughal politics of ‘Watan Jagirs’ made the kshatriya as an open category for reclamation through the tool of hagiography which became a complex literary genre drawing upon Puranic narrative, Vaishnava avatar theology and the notions of sacred geography."
Rabi Prakash,"‘Political’ Hagiography
in Vernacular: History and Ideology in Early Modern Brajbhasha /Carit
K?vya/""","Osaka University, Japan",14th International Conference on Early Modern Literatures of Norther India.,"The presentation argues that the composition of political hagiographies emerged not only as an 
important tool for appropriating kshatriya status and reconstructing royal genealogies to bolster 
one’s kshatriya status claim, but also more fundamentally they served as authoritative texts for 
the quest of legitimate political power over a given territory (bhumiy?va?) among the political 
entrepreneurs of 17th and 18th centur"
Rabi Prakash,"Political power caste identity in pre-modern India: An account of Changing Discourse between 
Sanskrit Jurisprudence texts and Early Hndi Literary Texts","Punjabi University, Patiala, Punjab",54th Punjabi History Congress,"The paper suggests an emergent practice among the political entrepreneurs from 
different caste groups making their bid to claim Kshatriya identity can best be retrieved through 
their vernacular hagiographies (Carit Kavya), which every significant regional ruler or military 
entrepreneur got composed for himself. The paper examines a set of hagiographies in Brajbhasha to 
establish how the Mughal politics of ‘Watan Jagirs’ made the Kshatriya an open category for 
reclamation through the tool of hagiography which became a complex literary genre drawing upon 
Puranic narrative, Vaishnava avatar theology and the notions of sacred geography."
Rabi Prakash,Explorations in the Conceptual History of R?jn?ti in the Early Modern India,"IISER, Pune",HSS Talk,"In this presentation, I explore the conceptual history of r?jn?ti by reading a set of early Hindi texts that called themselves ‘R?jn?ti’. I would belabor that these vernacular texts in the early modern/later second millennium constituted normative political life laced with the literary imaginations of aesthetic and ethical life. Invoking questions such as what literary genres should the r?jn?ti texts belong to? How do we read these texts in the larger intellectual contexts of devotion (bhakti) and stylistic (r?ti) literary genres? Where do these texts derive their authority from? And what are the cultural receptions of these texts? The presentation would argue that these r?jn?ti texts in early Hindi vernacular inherited longer Sanskritic traditions, built upon the parallel Persian traditions of non-juridical political ethics (akhl?q), and developed a new discourse on political and ethical life that was both desirable and viable for regional political elites."
Rabi Prakash,"Political Power and Caste Identity in Pre-Modern India: Changing Discourse on Kshatriya Identity between Sanskrit Jurisprudence and Vernacular Literary Texts

","TSLAS, Patiala","TSLAS, Patiala","The paper examines a set of hagiographies in Brajbhasha 
to establish how the Mughal politics of ‘Watan Jagirs’ made the kshatriya as an 
open category for reclamation through the tool of hagiography which became a 
complex literary genre drawing upon Puranic narrative, Vaishnava avatar 
theology and the notions of sacred geography."
Saumya Deojain,Unity in Diversity: How Norms of Compromise Enable Cooperation,"Frankfurt, Germany; Milan, Italy; Venice, Italy; Ahmedabad, India",European Economic Assiciation (Bocconi University); Society for Institutional and Organizational Economics (Goethe Institute); University of Venice Ca'Foscari; Ahmedabad University,"I introduce the notion of “norms of compromise” and show that it is essential to understanding the complex relationship between diversity and cooperation documented in the literature. I find that norms of compromise are able to invert the relationship between stable cooperation and different measures of polarization by changing individual risks of leaving the grand coalition. These results highlight the importance of considering the interaction between diversity and culture to establish the causal effects of diversity on cooperation. They also shed light on how norms interact with cooperative efforts in uncertain political environments involving diverse political actors, like social movements."
Saumya Deojain,Diversity Taxes,"Rochester, USA; TSLAS, Patiala",W. Allen Wallis Institute of Political Economy; TSLAS,"The sociological literature suggests that within diverse communities, individuals create externalities on each other when they express their identity through the consumption of market goods. We present a model in which local governments use taxation and individuals adjust their social networks to address these identity expression externalities. We find that taxation and network adjustments act as strategic complements or substitutes, depending on individuals’ preferences for out-group identity expression. Taxes imposed to regulate identity expression externalities amplify the network response to changes in diversity. We analyze US city data on ethnic diversity, taxation, and segregation as outcomes influenced by identity-expression externalities."
Jappen Oberoi,Strategies followed by immigrants to expedite cultural assimilation in early historical India,"Dept. of History, Aggarwal College (M.D. University)","Dept. of History, Aggarwal College (M.D. University)","The Indian subcontinent begirded by mountains, water bodies, and forests, consequently developed its distinctive civilizations and culture. People of foreign extraction fuelled by opportunities of martial acclaim, imperialist cravings, partaking in mercantile opulence, or simply to be in the proximity of a place considered holy in their sectarian belief system certainly overlooked the geographical impediment and took up permanent residence in ancient India, whether they were Yavana immigrants, part of the Scythian Diaspora or the Yuezhi wave. The talk focussed on gathering snippets from the early historical period which reveal the multiple strategies adopted by these immigrants to ease and expedite their assimilation into the Indian socio-cultural milieu and attain acceptance of the native population."
Richa Nigam,"Delivering higher learning outcomes: 
the Neuroscience Perspective",Thapar Institute of Engineering and Technology (TIET; OBE Conference 2023,Thapar Institute of Engineering and Technology (TIET),The talk focused on concentrating at training the slow brain processes that are least preferred by students to achieve effective and higher order learning.
KRITI VYAS,Developing a Questionnaire,"Online - Rekhi Center for Excellence for Science of Happiness, Chandigarh University","Rekhi Center for Excellence for Science of Happiness, Chandigarh University",The focus was on developing a research questionnaire - steps and processes involved in constructing the psychological test
KRITI VYAS,Understanding Empathy in repect to consumer Psychology,"Online - Jindal Global Bussiness School, OP Jindal University","Jindal Global Bussiness School, OP Jindal University",The talk focussed on explaining the concept of empathy and how employees can make use of empathy in understanding their consumers
